name,domain,linkedin_url,headquarters,location,description,primary_industry,size,revenue_range,revenue_currency,country,company_type,employee_count,revenue_usd_m,write_idempotency_key
"Meijer, Inc.",meijer.com,https://linkedin.com/company/meijer,"Grand Rapids, United States",United States,"Meijer, Inc. is a leading American supercenter chain that operates grocery stores, general merchandise stores, and pharmacies across the Midwest. Known for its one-stop shopping experience, Meijer is a pioneer in the retail industry.",Supermarkets And Retail,"10,001+ employees",$10B+,USD,United States,Private Company,70000,20000.0,d8d58e76ee730874a7b6291931ea3381
NH Foods Ltd.,nhfoods.com,https://linkedin.com/company/nh-foods-ltd,"Osaka, Japan",AsiaPacific,"NH Foods Ltd. is a leading Japanese company specializing in the production and distribution of fresh meats, processed foods, and seafood products. It operates globally, providing high-quality food solutions to consumers and businesses.",Food Production,"10,001+ employees",$1B - $10B,USD,Japan,Public Company,15000,8708.0,81b85366472421c2e1082a9d5a8c6fa8
"Macy'S, Inc.",macys.com,https://linkedin.com/company/macys,"New York, United States",United States,"Macy's, Inc. is a leading American retailer operating department stores, offering a wide range of apparel, accessories, home goods, and beauty products. The company is known for its iconic Macy's brand and its commitment to delivering quality and value to customers.",Department Stores,"10,001+ employees",$10B+,USD,United States,Private Company,88000,23095.0,7a62d3ea6c2cb236a85cc8cc4672bae1
Spectrum Brands Holdings,spectrumbrands.com,https://linkedin.com/company/spectrum-brands,"Middleton, United States",Global,"Spectrum Brands Holdings is a global consumer products company offering a wide range of products in home essentials, personal care, and pet care. The company operates across multiple brands, delivering innovative solutions to enhance everyday life.",Consumer Goods,"10,001+ employees",$1B - $10B,USD,United States,Public Company,13000,3779.0,ce0cc3c485aa12f0acbde08d25e9415e
Skechers,skechers.com,https://linkedin.com/company/skechers,"Manhattan Beach, United States",Global,"Skechers is a global leader in the lifestyle and performance footwear industry, offering a wide range of shoes, apparel, and accessories for men, women, and children.",Footwear And Apparel,"10,001+ employees",$1B - $10B,USD,United States,Public Company,12000,8000.0,779dc800c5fe1f3778f0bb4d70714e7c
Sprouts Farmers Market,sprouts.com,https://linkedin.com/company/sprouts-farmers-market,"Phoenix, United States",United States,"Sprouts Farmers Market is a specialty grocery retailer offering fresh, natural, and organic products at affordable prices. The company focuses on healthy living and sustainable practices.",Grocery Retail,"10,001+ employees",$1B - $10B,USD,United States,Private Company,31000,7200.0,8c6111551af3a2f17a5a9278e79d71b7
Signet Jewelers Limited,signetjewelers.com,https://linkedin.com/company/signet-jewelers,"Akron, United States",Global,"Signet Jewelers Limited is the world's largest retailer of diamond jewelry, operating brands such as Kay Jewelers, Zales, Jared, and others. The company specializes in offering a wide range of jewelry and watches through its retail stores and e-commerce platforms.",Jewelry Retail,"10,001+ employees",$1B - $10B,USD,United States,Private Company,22000,7135.0,ff008c743706cfa11864fed320a5311f
"Sugi Holdings Co., Ltd.",sugi-hd.co.jp,https://linkedin.com/company/sugi-holdings,"Tokyo, Japan",Japan,"Sugi Holdings Co., Ltd. operates in the retail industry, specializing in pharmacy and drugstore chains across Japan. The company focuses on providing healthcare products and services to its customers.",Pharmacy And Drugstore Retail,"10,001+ employees",$1B - $10B,USD,Japan,Private Company,15000,4937.0,bb52bd8ef29623bc3b320b49dbe42bd8
Stater Bros. Holdings Inc.,staterbros.com,https://linkedin.com/company/stater-bros-markets,"San Bernardino, United States","San Bernardino, United States","Stater Bros. Holdings Inc. operates a chain of supermarkets primarily in Southern California, offering groceries, fresh produce, and household essentials.",Supermarkets And Grocery Stores,"10,001+ employees",$1B - $10B,USD,United States,Private Company,18000,5500.0,94caaa966ad680b42c43ee6afb38863c
"Sundrug Co., Ltd.",sundrug.co.jp,https://linkedin.com/company/sundrug,"Tokyo, Japan",Japan,"Sundrug Co., Ltd. is a leading Japanese retail company specializing in the sale of pharmaceuticals, cosmetics, and daily necessities through its extensive network of drugstores and supermarkets.",Pharmaceutical And Retail,"10,001+ employees",$1B - $10B,USD,Japan,Private Company,10000,4966.0,cd7c0e95ee9a1cd72c2c4515b6fe33ce
Victoria'S Secret & Co.,victoriassecret.com,https://linkedin.com/company/victorias-secret,"Reynoldsburg, United States",Global,"Victoria's Secret & Co. is a leading specialty retailer of women's lingerie, beauty products, and apparel, known for its iconic brand and global presence.",Specialty Retail,"10,001+ employees",$1B - $10B,USD,United States,Private Company,30000,6182.0,615b67c87491343d11e6cc92f309d622
Woolworths Limited,woolworths.com.au,https://linkedin.com/company/woolworths-group,"Sydney, Australia",Australia,"Woolworths Limited is a leading Australian retail company, operating supermarkets, liquor stores, and other retail businesses across the country. It is one of the largest employers in Australia and a key player in the retail industry.",Supermarkets And Grocery Retail,"10,001+ employees",$10B+,USD,Australia,Private Company,215000,42005.0,07e6cbc1c54a48d040560054f310b467
"Yodobashi Camera Co., Ltd.",yodobashi.com,https://linkedin.com/company/yodobashi-camera,"Tokyo, Japan",Japan,"Yodobashi Camera Co., Ltd. is a leading Japanese retail company specializing in consumer electronics, home appliances, and related products. It operates large-scale stores and an online platform catering to customers across Japan.",Consumer Electronics Retail,"5,001-10,000 employees",$1B - $10B,USD,Japan,Private Company,5000,5296.0,98aff8d43526111b08f0119902bfb12d
Zalando,zalando.com,https://linkedin.com/company/zalando,"Berlin, Germany",Europe,"Zalando is a leading European online platform for fashion and lifestyle, offering a wide range of clothing, footwear, and accessories to customers across multiple countries.",E-Commerce Fashion Retail,"10,001+ employees",$10B+,USD,Germany,Private Company,17000,11500.0,e1a75945a29e7a3e0c1ddffbe8ba3d99
Avolta AG,avolta.com,https://linkedin.com/company/avolta-ag,"Basel, Switzerland",Global,"Avolta AG, formerly known as Dufry AG, is a leading global travel retail company specializing in duty-free and duty-paid retail operations in airports, cruise lines, and other travel hubs.",Travel Retail,"10,001+ employees",$10B+,USD,Switzerland,Private Company,36000,14949.0,186af7c7731c0a0627690078e1951a71
Casino Guichard-Perrachon,groupe-casino.fr,https://linkedin.com/company/groupe-casino,"Saint-Étienne, France",Europe,"Casino Guichard-Perrachon is a leading French retail group specializing in food and non-food distribution, operating a variety of supermarket and hypermarket chains across Europe and Latin America.",Supermarkets And Hypermarkets,"10,001+ employees",$10B+,USD,France,Private Company,200000,31946.0,ba80b4248bbc26d6d485f8dcd7253403
Academy Sports,academy.com,https://linkedin.com/company/academy-sports-outdoors,"Katy, United States",United States,"Academy Sports + Outdoors is a leading retailer offering a wide range of sporting goods, outdoor equipment, and apparel for customers across the United States.",Sporting Goods Retail,"10,001+ employees",$1B - $10B,USD,United States,Private Company,22000,6400.0,ed1cca3375b38d9ece5b87cf3fc73d7d
Clorox Company,clorox.com,https://linkedin.com/company/the-clorox-company,"Oakland, United States",Global,"The Clorox Company is a leading multinational manufacturer and marketer of consumer and professional products, including cleaning supplies, health and wellness items, and household goods.",Household And Consumer Products,"5,001-10,000 employees",$1B - $10B,USD,United States,Public Company,9000,7348.0,3fea9e66ab500615bd1f315d02c46780
Coles Group Limited,coles.com.au,https://linkedin.com/company/coles,"Melbourne, Australia",Australia,"Coles Group Limited is a leading Australian retailer, operating supermarkets, liquor stores, and convenience outlets across the country. The company focuses on providing high-quality products and services to customers while promoting sustainability and innovation.",Supermarkets And Grocery Retail,"10,001+ employees",$10B+,USD,Australia,Private Company,120000,28000.0,ad8eb1c8119f06e49b11bfc5a014dd2d
Kingfisher Plc,kingfisher.com,https://linkedin.com/company/kingfisher-plc,"London, United Kingdom",Europe,"Kingfisher plc is a leading home improvement retail group operating across Europe, offering products and services to help customers improve their homes and gardens.",Home Improvement Retail,"10,001+ employees",$10B+,USD,United Kingdom,Private Company,79000,14829.0,599e932ddfab96459e5e83f29927361b
Stanley Black & Decker,stanleyblackanddecker.com,https://linkedin.com/company/stanley-black-and-decker,"New Britain, United States",Global,"Stanley Black & Decker is a leading global provider of tools, storage, and commercial electronic security solutions, serving professionals and consumers worldwide.",Tools And Hardware Manufacturing,"10,001+ employees",$10B+,USD,United States,Public Company,60000,15781.0,068e3af90118f91f750f864dcd8ccc6e
Migros-Genossenschafts-Bund,migros.ch,https://linkedin.com/company/migros,"Zurich, Switzerland",Switzerland,"Migros-Genossenschafts-Bund is Switzerland's largest retail company, offering a wide range of products and services including supermarkets, food production, and non-food retail. It operates as a cooperative and is known for its focus on sustainability and community engagement.",Supermarkets & Retail,"10,001+ employees",$10B+,USD,Switzerland,Private Company,99000,30688.0,5462a991e08a46786e2eb8d50473b11b
"Nike, Inc.",nike.com,https://linkedin.com/company/nike,"Beaverton, United States",Global,"Nike, Inc. is a leading global designer, marketer, and distributor of athletic footwear, apparel, equipment, and accessories. The company is known for its innovative products and iconic branding.",Sporting Goods And Apparel,"10,001+ employees",$10B+,USD,United States,Public Company,79100,51217.0,98409b7f8dcd86db6b59216fe0d70bce
LVMH Moët Hennessy-Louis Vuitton SA,lvmh.com,https://linkedin.com/company/lvmh,"Paris, France",Global,"LVMH is a world leader in luxury goods, encompassing a diverse portfolio of over 75 prestigious brands in fashion, cosmetics, wines, spirits, and jewelry.",Luxury Goods,"10,001+ employees",$10B+,USD,France,Private Company,196000,86000.0,a2b061804fa397a91f6d5e87d16667a2
